Ohio_STR;TEACHERS;GLOBAL LIQUIDITY RESERVE;;;INTERNATIONAL FUNDS;;GLOBAL CUSTODIAN LIQUIDITY RESERVE;I-GLR;0
Ohio_STR;TEACHERS;ALBEMARLE CORP;;576,903.00;COMMON STOCK;10,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALERE INC;;711,438.00;COMMON STOCK;18,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALKERMES PLC;;150,822.00;COMMON STOCK;1,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALLEGHANY CORP DEL;;716,895.00;COMMON STOCK;1,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALLEGION PLC;;821,759.00;COMMON STOCK;12,466.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALLERGAN PLC;;7,275,000.00;COMMON STOCK;23,280.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALLIANCE DATA SYSTEM;;1,770,048.00;COMMON STOCK;6,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALLIED WORLD ASSURANCE HOLD;;1,554,542.00;COMMON STOCK;41,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALLSTATE CORP;;6,227,627.00;COMMON STOCK;100,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALNYLAM PHARMACEUTICALS INC;;395,388.00;COMMON STOCK;4,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALPHABET INC;;1,011,413.00;COMMON STOCK;1,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALPHABET INC CL C;;610,898.00;COMMON STOCK;805.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALTABA INC;;299,340.00;COMMON STOCK;9,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALTRIA GROUP INC;;7,229,682.00;COMMON STOCK;124,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMAZON.COM INC;;2,500,793.00;COMMON STOCK;3,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMC NETWORKS INC;;1,448,792.00;COMMON STOCK;19,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMDOCS LIMITED;;2,406,537.00;COMMON STOCK;44,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERCO;;1,090,600.00;COMMON STOCK;2,800.00;INTECH (Q);5IN;0
