Ohio_STR;TEACHERS;GLOBAL LIQUIDITY RESERVE;;;INTERNATIONAL FUNDS;;GLOBAL CUSTODIAN LIQUIDITY RESERVE;I-GLR;0
Ohio_STR;TEACHERS;STARWOOD WAYPOINT HOMES;;332,355.00;REAL ESTATE INVESTMENT TRUST;14,680.00;FULLER THALER (SC);6FC;0
Ohio_STR;TEACHERS;AMERICAN SCIENCE &;;1,622,096.00;COMMON STOCK;39,200.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;APPLIED MICRO CIRCUITS CORP;;2,628,262.00;COMMON STOCK;412,600.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;ARCTIC CAT INC.;;1,524,978.00;COMMON STOCK;93,100.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;ARDMORE SHIPPING CORP;;1,939,800.00;COMMON STOCK;152,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;AUTOWEB INC;;1,856,688.00;COMMON STOCK;82,300.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;BEAZER HOMES USA INC;;725,019.00;COMMON STOCK;63,100.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;BLUE NILE INC;;1,997,594.00;COMMON STOCK;53,800.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;BRAVO BRIO RESTAURANT GROUP;;715,500.00;COMMON STOCK;79,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;CARROLS RESTAURANT GROUP;;1,509,764.00;COMMON STOCK;128,600.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;CENTRAL GARDEN AND PET CO-A;;1,555,840.00;COMMON STOCK;114,400.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;CENVEO INC;;319,020.00;COMMON STOCK;366,100.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;CHANNELADVISOR CORP;;2,170,295.00;COMMON STOCK;156,700.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;CHRISTOPHER & BANKS CORP;;648,945.00;COMMON STOCK;393,300.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;CROSS COUNTRY HEALTHCARE;;2,048,750.00;COMMON STOCK;125,000.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;CUTERA INC;;2,069,422.00;COMMON STOCK;161,800.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;DEL FRISCO'S;;1,704,528.00;COMMON STOCK;106,400.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;DURECT CORP;;807,313.00;COMMON STOCK;365,300.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;EHEALTH INC;;1,608,776.00;COMMON STOCK;161,200.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;ELDORADO RESORTS INC;;1,816,100.00;COMMON STOCK;165,100.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;ELECTRO SCIENTIFIC INDS INC.;;717,829.00;COMMON STOCK;138,310.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;EMCORE CORP;;1,032,905.00;COMMON STOCK;168,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;ENERGY FOCUS INC;;702,625.00;COMMON STOCK;51,100.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;EVERI HOLDINGS INC;;839,368.00;COMMON STOCK;191,200.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;EVINE LIVE INC;;720,722.00;COMMON STOCK;404,900.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;EXTREME NETWORKS INC;;1,161,168.00;COMMON STOCK;284,600.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;GIGAMON INC;;2,890,816.00;COMMON STOCK;108,800.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;HARTE-HANKS INC.;;674,892.00;COMMON STOCK;208,300.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;HEADWATERS INC;;1,304,051.00;COMMON STOCK;77,300.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;HOPE BANCORP INC;;575,148.00;COMMON STOCK;33,400.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;HOUSTON WIRE & CABLE CO;;956,736.00;COMMON STOCK;181,200.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;IMMERSION CORPORATION;;1,311,750.00;COMMON STOCK;112,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;INTELIQUENT INC.;;4,202,605.00;COMMON STOCK;236,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;INTEVAC INC;;1,010,794.00;COMMON STOCK;214,606.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;INVESTMENT TECHNOLOGY;;837,384.00;COMMON STOCK;49,200.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;ION GEOPHYSICAL CORP;;379,991.00;COMMON STOCK;755,300.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;JAMBA INC;;964,535.00;COMMON STOCK;71,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;KRATOS DEFENSE & SECURITY;;891,340.00;COMMON STOCK;217,400.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;LAYNE CHRISTENSEN COMPANY;;670,650.00;COMMON STOCK;127,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;LEAPFROG ENTERPRISES INC;;371,188.00;COMMON STOCK;522,800.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;LIMELIGHT NETWORKS INC;;568,670.00;COMMON STOCK;389,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;LIMONEIRA CO;;732,060.00;COMMON STOCK;49,000.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;MONEYGRAM INTERNATIONAL INC.;;;COMMON STOCK;0.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;MOSYS INC.;;373,979.00;COMMON STOCK;343,100.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;OCLARO INC;;1,431,672.00;COMMON STOCK;411,400.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;OMEGA PROTEIN CORP;;1,269,840.00;COMMON STOCK;57,200.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;PACIFIC BIOSCIENCES OF;;3,131,295.00;COMMON STOCK;238,484.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;PERRY ELLIS INTERNATIONAL;;913,632.00;COMMON STOCK;49,600.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;PHARMERICA CORP;;924,000.00;COMMON STOCK;26,400.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;PIXELWORKS INC;;768,026.00;COMMON STOCK;322,700.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;POWERSECURE INTERNATIONAL;;2,069,375.00;COMMON STOCK;137,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;PRG-SCHULTZ INTL INC;;919,212.00;COMMON STOCK;247,100.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;PROGENICS PHARMACEUTICAL;;1,680,846.00;COMMON STOCK;274,200.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;QUANTUM CORP;;1,067,640.00;COMMON STOCK;1,148,000.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;REALNETWORKS INC;;785,400.00;COMMON STOCK;184,800.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;RESOLUTE ENERGY CORP;;181,656.00;COMMON STOCK;208,800.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;RIBBON COMMUNICATIONS INC;;932,604.00;COMMON STOCK;130,800.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;SCHNITZER STL INDS;;1,317,729.00;COMMON STOCK;91,700.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;SEACHANGE INTERNATIONAL;;1,827,888.00;COMMON STOCK;271,200.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;SERVICESOURCE INTL INC;;1,196,295.00;COMMON STOCK;259,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;SHORETEL INC;;1,803,630.00;COMMON STOCK;203,800.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;SIGMA DESIGNS INC;;1,812,576.00;COMMON STOCK;286,800.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;STAGE STORES INC;;2,249,259.00;COMMON STOCK;246,900.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;SURMODICS INC;;845,259.00;COMMON STOCK;41,700.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;TELENAV INC;;745,959.00;COMMON STOCK;131,100.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;TELIGENT INC;;1,634,930.00;COMMON STOCK;183,700.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;THE BANCORP INC;;318,500.00;COMMON STOCK;50,000.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;TITAN MACHINERY INC;;792,425.00;COMMON STOCK;72,500.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;TUESDAY MORNING CORP;;909,350.00;COMMON STOCK;139,900.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;ULTRA CLEAN HOLDINGS;;961,024.00;COMMON STOCK;187,700.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;UNWIRED PLANET INC.;;471,648.00;COMMON STOCK;546,521.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;US TREAS MONEY MARKET - 6FT;;301,607.00;COMMON STOCK;301,606.58;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;VIOLIN MEMORY INC;;414,136.00;COMMON STOCK;460,100.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;WILSHIRE BANCORP INC;;1,196,580.00;COMMON STOCK;103,600.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;YRC WORLDWIDE INC;;1,734,214.00;COMMON STOCK;122,300.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;ZELTIQ AESTHETICS INC;;3,475,838.00;COMMON STOCK;121,831.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;ARBOR REALTY TRUST INC;;1,125,410.00;REAL ESTATE INVESTMENT TRUST;157,400.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;COLONY CAPITAL INC;;459,728.00;REAL ESTATE INVESTMENT TRUST;23,600.00;FULLER & THALER (MC);6FT;0
Ohio_STR;TEACHERS;2U INC;;3,332,866.00;COMMON STOCK;119,116.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;ACADIA PHARMACEUTICALS INC;;6,320,317.00;COMMON STOCK;177,288.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;ADVISORY BOARD CO/THE;;9,328,863.00;COMMON STOCK;188,044.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;AERIE PHARMACEUTICALS INC;;1,237,491.00;COMMON STOCK;50,821.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;AXOS FINANCIAL INC;;9,818,225.00;COMMON STOCK;466,424.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;CHUY'S HOLDINGS INC;;6,410,660.00;COMMON STOCK;204,552.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;COLLIERS INTERNATIONAL GROUP;;3,909,173.00;COMMON STOCK;87,748.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;DIPLOMAT PHARMACY INC;;8,009,020.00;COMMON STOCK;234,045.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;DRIL-QUIP INC;;1,887,542.00;COMMON STOCK;31,868.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;EPAM SYSTEMS INC;;6,039,431.00;COMMON STOCK;76,818.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;EVERCORE INC;;3,157,850.00;COMMON STOCK;58,403.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;EXAMWORKS GROUP INC;;5,030,486.00;COMMON STOCK;189,116.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;FIRSTSERVICE CORP PFDS;;9,158,931.00;COMMON STOCK;226,538.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;FLEETMATICS GROUP LTD;;8,356,783.00;COMMON STOCK;164,536.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;FRANCESCAS HOLDINGS CORP;;3,145,534.00;COMMON STOCK;180,674.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;GENTHERM INC;;2,574,863.00;COMMON STOCK;54,322.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;GEOSPACE TECH CORP;;476,002.00;COMMON STOCK;33,831.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;GLOBANT SA;;4,571,719.00;COMMON STOCK;121,880.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;GREENLIGHT CAPITAL RE LTD-A;;1,196,355.00;COMMON STOCK;63,942.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;GTT COMMUNICATIONS INC;;3,090,914.00;COMMON STOCK;181,179.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;H&E EQUIPMENT SERVICES INC;;2,016,178.00;COMMON STOCK;115,342.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;HEICO CORP;;3,464,472.00;COMMON STOCK;63,732.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;IHS INC-CLASS A;;4,953,572.00;COMMON STOCK;41,827.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;INCONTACT INC;;3,165,086.00;COMMON STOCK;331,770.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;INDEPENDENT BANK GROUP INC;;1,518,816.00;COMMON STOCK;47,463.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;INSULET CORP;;6,615,956.00;COMMON STOCK;174,979.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;IPG PHOTONICS CORP;;3,723,322.00;COMMON STOCK;41,760.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;LANDSTAR SYSTEM INC.;;2,674,147.00;COMMON STOCK;45,595.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;MIDDLEBY CORP;;8,976,186.00;COMMON STOCK;83,213.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;NATURAL GAS SERVICES GROUP;;2,945,808.00;COMMON STOCK;132,099.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;NORD ANGLIA EDUCATION INC;;6,314,401.00;COMMON STOCK;311,361.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;OLLIES BARGAIN OUTLET;;557,962.00;COMMON STOCK;32,802.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;PAYLOCITY HOLDING CORP;;10,498,841.00;COMMON STOCK;258,911.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;PLANET FITNESS INC-CL A;;1,582,178.00;COMMON STOCK;101,227.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;PRESS GANEY HOLDINGS INC;;236,846.00;COMMON STOCK;7,507.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;PROTO LABS INC;;497,610.00;COMMON STOCK;7,813.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;PUMA BIOTECHNOLOGY INC;;3,679,312.00;COMMON STOCK;46,930.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;REALPAGE INC;;3,891,842.00;COMMON STOCK;173,356.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;SIGNATURE BANK;;11,848,906.00;COMMON STOCK;77,257.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;SPS COMMERCE INC;;4,873,908.00;COMMON STOCK;69,419.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;STANTEC INC;;211,657.00;COMMON STOCK;8,538.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;STRATASYS LTD;;142,571.00;COMMON STOCK;6,072.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;TELADOC INC;;737,797.00;COMMON STOCK;41,080.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;TEXTURA CORP;;191,781.00;COMMON STOCK;8,887.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;THE FRESH MARKET INC;;2,048,149.00;COMMON STOCK;87,453.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;TRINET GROUP INC;;215,830.00;COMMON STOCK;11,154.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;U S PHYSICAL THERAPY;;210,318.00;COMMON STOCK;3,918.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;ULTIMATE SOFTWARE GROUP INC;;9,469,331.00;COMMON STOCK;48,434.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;ULTRAGENYX PHARMACEUTICAL;;6,953,253.00;COMMON STOCK;61,983.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;UNITED INSURANCE HOLDINGS CO;;691,712.00;COMMON STOCK;40,451.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;US TREAS MONEY MARKET - 6MA;;8,930,475.00;COMMON STOCK;8,930,475.01;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;VARONIS SYSTEMS INC;;231,522.00;COMMON STOCK;12,315.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;VIRTUS INVESTMENT PARTNERS;;7,220,619.00;COMMON STOCK;61,473.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;WAGEWORKS INC;;7,698,336.00;COMMON STOCK;169,679.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;WASTE CONNECTIONS INC;;8,689,500.00;COMMON STOCK;154,288.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;WAYFAIR INC-CLASS A;;13,707,655.00;COMMON STOCK;287,855.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;XPO LOGISTICS INC;;3,370,416.00;COMMON STOCK;123,685.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;FINANCIAL ENGINES INC;;2,568,112.00;REAL ESTATE INVESTMENT TRUST;76,273.00;WEATHERBIE CAPITAL (SG);6MA;0
Ohio_STR;TEACHERS;2U INC;;1,125,635.00;COMMON STOCK;40,230.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;ABIOMED INC;;4,919,989.00;COMMON STOCK;54,497.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;ACADIA HEALTHCARE CO INC;;4,793,180.00;COMMON STOCK;76,740.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;ADEPTUS HEALTH INC-CLASS A;;1,720,433.00;COMMON STOCK;31,556.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;AKORN INC;;4,156,894.00;COMMON STOCK;111,415.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;AMN HEALTHCARE SERVICES INC;;3,348,028.00;COMMON STOCK;107,827.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;ANACOR PHARMACEUTICALS INC;;4,337,257.00;COMMON STOCK;38,393.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;APOGEE ENTERPRISES INC.;;1,428,129.00;COMMON STOCK;32,823.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;ATLASSIAN CORP PLC - CLASS A;;54,836.00;COMMON STOCK;1,823.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;AXON ENTERPRISE INC;;1,177,898.00;COMMON STOCK;68,126.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;CAESARSTONE SDOT - YAM LTD;;963,232.00;COMMON STOCK;22,225.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;COMSCORE INC;;3,788,475.00;COMMON STOCK;92,065.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;COSTAR GROUP INC;;3,756,177.00;COMMON STOCK;18,173.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;CVENT INC;;1,105,355.00;COMMON STOCK;31,663.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;CYBERARK SOFTWARE LTD;;908,443.00;COMMON STOCK;20,125.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;DEXCOM INC;;783,537.00;COMMON STOCK;9,567.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;DIPLOMAT PHARMACY INC;;3,992,071.00;COMMON STOCK;116,659.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;ELECTRONICS FOR IMAGING;;1,589,020.00;COMMON STOCK;33,997.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;ELLIE MAE INC;;4,205,560.00;COMMON STOCK;69,825.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;EPAM SYSTEMS INC;;4,974,838.00;COMMON STOCK;63,277.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;FIESTA RESTAURANT GROUP;;1,447,421.00;COMMON STOCK;43,078.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;FORTINET INC;;1,862,688.00;COMMON STOCK;59,759.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;GENTEX CORP.;;1,591,762.00;COMMON STOCK;99,423.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;GENTHERM INC;;3,305,913.00;COMMON STOCK;69,745.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;G-III APPAREL GROUP LTD;;3,667,030.00;COMMON STOCK;82,852.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;GUIDEWIRE SOFTWARE INC;;3,937,592.00;COMMON STOCK;65,452.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;HABIT RESTAURANTS INC/THE-A;;855,780.00;COMMON STOCK;37,111.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;HEALTHEQUITY INC;;3,150,146.00;COMMON STOCK;125,654.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;HFF INC - CL A;;3,479,654.00;COMMON STOCK;111,994.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;HUBSPOT INC;;2,534,457.00;COMMON STOCK;45,009.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;IMPERVA INC;;2,039,215.00;COMMON STOCK;32,210.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;INFINERA CORP;;1,640,385.00;COMMON STOCK;90,529.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;INOGEN INC;;2,623,089.00;COMMON STOCK;65,430.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;INSYS THERAPEUTICS INC;;3,012,878.00;COMMON STOCK;105,235.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;KNIGHT-SWIFT TRANSPORTATION;;4,538,739.00;COMMON STOCK;187,319.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;LENDINGTREE INC;;1,189,031.00;COMMON STOCK;13,318.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;LIGAND PHARMACEUTICALS;;3,362,104.00;COMMON STOCK;31,010.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;MANHATTAN ASSOCIATES INC;;4,325,864.00;COMMON STOCK;65,375.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;MARKETAXESS HOLDINGS INC;;5,534,306.00;COMMON STOCK;49,595.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;MERITAGE HOMES CORP;;2,189,228.00;COMMON STOCK;64,408.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;MOLINA HEALTHCARE INC;;3,997,262.00;COMMON STOCK;66,477.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;MONOLITHIC POWER SYSTEMS;;1,649,452.00;COMMON STOCK;25,890.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;NEVRO CORP;;1,588,105.00;COMMON STOCK;23,524.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;OLD DOMINION FREIGHT LINE;;4,412,824.00;COMMON STOCK;74,705.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;PACIRA PHARMACEUTICALS INC;;2,989,281.00;COMMON STOCK;38,928.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;PAYLOCITY HOLDING CORP;;4,748,729.00;COMMON STOCK;117,108.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;PRA GROUP INC;;2,281,665.00;COMMON STOCK;65,773.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;PROOFPOINT INC;;4,618,830.00;COMMON STOCK;71,048.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;RH;;732,291.00;COMMON STOCK;9,217.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;RSP PERMIAN INC;;1,185,330.00;COMMON STOCK;48,599.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;SKECHERS U S A INC;;1,053,513.00;COMMON STOCK;34,873.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;SPS COMMERCE INC;;2,402,656.00;COMMON STOCK;34,221.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;TREX COMPANY INC;;980,747.00;COMMON STOCK;25,782.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;TYLER TECHNOLOGIES I;;3,809,764.00;COMMON STOCK;21,855.00;NEXT CENTURY (SG);6NC;0
Ohio_STR;TEACHERS;ULTIMATE SOFTWARE GROUP INC;;4,284,406.00;COMMON STOCK;21,914.00;NEXT CENTURY (SG);6NC;0
